Id,Title,Is this an experimental talk?,State,Accepted track,Submitted for tracks,Reviewed for tracks,Accepted type,Submitted type
15,Searching for quark-gluon plasma droplets with heavy quark energy correlators,No,Accepted,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
297,Hard Photons as Standard Candles of Centrality in Small Systems,No,Accepted,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Oral presentation,Oral presentation
264,Thermal photon production in massless boost-invariant gases,No,Accepted,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Oral presentation,Oral presentation
144,Electromagnetic radiation from jet-medium interactions and the dynamical evolution of quark flavors in heavy-ion collisions,No,Accepted,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Oral presentation,Oral presentation
338,The impact of phase transitions on dilepton production,No,Accepted,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Oral presentation,Oral presentation
282,EM-field fluctuations in event-by-event magnetohydrodynamics and their impact on direct-photon yield and flow,No,Accepted,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Oral presentation,Oral presentation
336,Direct Photon Production from Concurrent Minijet-Hydrodynamics Evolution,No,Accepted,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Oral presentation,Oral presentation
216,Photon production in medium-modified jets: phenomenology and precision,No,Accepted,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Oral presentation,Oral presentation
278,Characterization of charm fragmentation across collision systems with measurements of angular correlations between charm mesons and charged particles with ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
224,"Jet Energy Scale Calibration and Measurement of the Inclusive Jet Cross-Section in p+p Collisions at $\sqrt{s}=200\,\mathrm{GeV}$ with the sPHENIX Detector",Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
69,Probing the Dead Cone Effect with $D^0$-tagged Jet Energy Correlators in STAR,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
172,Characterizing inclusive charged-particle jet production and fragmentation in pp collisions with ALICE,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
285,Beauty production studies via quarkonia measurements in ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
362,sPHENIX measurement of isolated photon transverse single spin asymmetry,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
