Id,Title,Is this an experimental talk?,State,Accepted track,Submitted for tracks,Reviewed for tracks,Accepted type,Submitted type
333,Studies of $\phi$-meson production at LHCb,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
266,Electron reconstruction in p+p collisions using sPHENIX silicon trackers and calorimeters,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Poster presentation
327,Intermediate mass dilepton measurements with LHCb in Run 3,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Oral presentation
92,Electron–muon azimuthal correlations from heavy-flavor hadron decays in proton-proton collisions at √s=13.6 TeV with ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Poster presentation
194,Probing charm-quark dynamics in the QGP via $D^0$ meson production and correlations with CMS,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
186,Quantum simulation of chiral phase transition in 1+1D SU(2) theory,No,Accepted,,ML/AI and quantum computing in high-energy nuclear physics,ML/AI and quantum computing in high-energy nuclear physics,Poster presentation,Oral presentation
361,sPHENIX measurement of inclusive jet transverse single spin asymmetry,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
322,Quarkonium production in light and heavy ion collisions at LHCb,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
212,Systematic effects in resonance signal extraction with the ALICE detector,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Poster presentation
20,Dielectron analysis in Pb$-$Pb collisions in Run 3 with ALICE,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Poster presentation
159,Investigating nuclear shape via the Breit-Wheeler process in U+U UPCs at STAR,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Oral presentation
301,Quarkonium production in association with hadronic activity in pp collisions with ALICE,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
41,Measurement of jet invariant mass with semi-inclusive hadron+jet distributions in Zr+Zr and Ru+Ru collisions at $\sqrt{s_{\text{NN}}} = 200$ GeV with STAR,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
220,Inclusive jet spectra and background rejection in pp collisions at $\sqrt{s}$ = 200 GeV with the sPHENIX detector,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
255,Measuring light-nuclei production in and out of jets with ALICE,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
